이름,팀,월,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루율,장타율,OPS
김태연,22한,9,90,75,8,16,5,0,0,21,8,0,0,12,1,0,22,0,1,1,0.213,0.326,0.28,0.606
노시환,22한,9,111,104,8,22,6,0,0,28,9,2,0,4,1,0,25,2,0,2,0.212,0.243,0.269,0.513
유강남,22L,9,62,57,8,12,1,0,2,19,9,0,0,4,0,0,12,2,0,1,0.211,0.258,0.333,0.591
장성우,22K,9,73,62,3,13,1,0,1,17,6,0,0,11,0,1,15,2,0,0,0.21,0.329,0.274,0.603
채은성,22L,9,95,86,7,18,2,1,1,25,4,4,0,5,3,1,21,5,0,1,0.209,0.274,0.291,0.564
박찬호,22기,9,99,87,12,18,1,0,0,19,3,9,1,9,0,0,15,0,1,2,0.207,0.276,0.218,0.494
최재훈,22한,9,65,54,4,11,2,0,2,19,4,0,0,6,5,0,11,1,0,0,0.204,0.339,0.352,0.69
박민우,22N,9,69,62,8,12,2,0,1,17,5,4,0,4,2,0,6,1,1,0,0.194,0.265,0.274,0.539
김인환,22한,9,72,69,3,12,1,0,1,16,6,0,0,3,0,0,27,0,0,0,0.174,0.208,0.232,0.44
최정,22S,9,73,57,11,9,0,0,7,30,12,0,2,10,6,1,11,2,0,0,0.158,0.343,0.526,0.869
김주원,22N,9,91,76,9,11,2,0,2,19,7,5,0,9,6,0,25,1,0,0,0.145,0.286,0.25,0.536
김휘집,22키,9,73,62,4,8,4,0,1,15,7,0,0,6,2,0,23,3,1,2,0.129,0.222,0.242,0.464
김준완,22키,9,80,59,10,7,3,0,0,10,3,1,0,18,1,0,15,0,2,0,0.119,0.333,0.169,0.503
오지환,22L,10,22,18,2,9,1,0,0,10,3,0,0,4,0,0,4,0,0,0,0.5,0.591,0.556,1.147
최형우,22기,10,20,19,7,9,4,0,2,19,6,1,0,1,0,0,3,1,0,0,0.474,0.5,1,1.5
고승민,22롯,10,16,15,2,7,0,0,2,13,5,0,0,1,0,0,5,0,0,0,0.467,0.5,0.867,1.367
페르난데스,22두,10,23,22,2,10,4,0,0,14,5,0,0,1,0,0,0,3,0,0,0.455,0.478,0.636,1.115
최재훈,22한,10,14,9,2,4,1,0,0,5,0,0,0,3,2,0,3,1,0,0,0.444,0.643,0.556,1.198
이원석,22삼,10,23,21,2,9,2,0,0,11,6,0,0,1,1,1,1,0,0,0,0.429,0.478,0.524,1.002
김민혁,22K,10,15,14,0,6,1,0,0,7,5,0,0,0,0,0,1,0,1,0,0.429,0.429,0.5,0.929
정수빈,22두,10,31,30,6,12,1,0,1,16,4,0,0,0,0,0,1,0,0,1,0.4,0.387,0.533,0.92
박민우,22N,10,29,25,7,10,2,1,0,14,1,0,1,3,0,1,2,1,0,1,0.4,0.448,0.56,1.008
황대인,22기,10,27,26,4,10,1,0,2,17,7,0,0,1,0,0,4,1,0,0,0.385,0.407,0.654,1.061
김지찬,22삼,10,17,16,2,6,1,0,0,7,0,1,0,1,0,0,1,0,0,0,0.375,0.412,0.438,0.849
알포드,22K,10,25,22,5,8,2,0,1,13,3,1,0,3,0,1,6,0,0,0,0.364,0.44,0.591,1.031
김현수,22L,10,23,22,1,8,0,0,0,8,1,0,0,1,0,0,2,0,0,0,0.364,0.391,0.364,0.755
장성우,22K,10,23,22,8,8,1,0,3,18,7,0,0,1,0,0,3,1,0,0,0.364,0.391,0.818,1.21
이상호,22L,10,14,11,2,4,0,0,0,4,3,0,0,1,1,0,0,0,1,0,0.364,0.462,0.364,0.825
강승호,22두,10,30,28,5,10,3,0,2,19,4,0,1,2,0,0,6,1,0,0,0.357,0.4,0.679,1.079
김태연,22한,10,15,14,1,5,1,0,0,6,2,0,0,1,0,0,2,0,0,0,0.357,0.4,0.429,0.829
유강남,22L,10,20,17,2,6,0,0,0,6,0,0,0,2,1,0,1,0,0,0,0.353,0.45,0.353,0.803
박성한,22S,10,20,20,1,7,1,0,0,8,1,0,0,0,0,0,0,0,0,0,0.35,0.35,0.4,0.75
홍창기,22L,10,30,23,6,8,2,0,0,10,1,1,0,4,3,0,4,1,0,0,0.348,0.5,0.435,0.935
나성범,22기,10,29,29,4,10,1,0,0,11,1,0,0,0,0,0,5,1,0,0,0.345,0.345,0.379,0.724
박해민,22L,10,30,27,3,9,1,0,0,10,3,0,0,1,1,0,4,0,0,1,0.333,0.367,0.37,0.737
오재일,22삼,10,22,18,3,6,1,0,2,13,9,0,0,3,1,1,5,0,0,0,0.333,0.455,0.722,1.177
오영수,22N,10,20,18,3,6,1,0,0,7,2,0,0,2,0,0,1,0,0,0,0.333,0.4,0.389,0.789
피렐라,22삼,10,26,25,4,8,5,0,0,13,4,0,0,1,0,0,4,1,0,0,0.32,0.346,0.52,0.866
황재균,22K,10,23,22,5,7,2,0,1,12,5,0,0,1,0,0,6,0,0,0,0.318,0.348,0.545,0.893
손아섭,22N,10,32,26,5,8,1,1,0,11,5,1,0,6,0,1,5,1,0,0,0.308,0.438,0.423,0.861
마티니,22N,10,14,13,1,4,2,0,0,6,1,0,0,1,0,0,2,1,0,0,0.308,0.357,0.462,0.819
박동원,22기,10,27,23,4,7,1,0,1,11,5,0,0,4,0,0,8,0,0,0,0.304,0.407,0.478,0.886
정은원,22한,10,20,20,1,6,0,0,0,6,0,1,0,0,0,0,2,0,0,0,0.3,0.3,0.3,0.6
강한울,22삼,10,17,14,2,4,0,0,0,4,1,1,0,2,0,0,1,0,1,0,0.286,0.375,0.286,0.661
최지훈,22S,10,14,14,1,4,0,0,0,4,0,2,1,0,0,0,2,0,0,0,0.286,0.286,0.286,0.571
김상수,22삼,10,14,14,2,4,2,0,0,6,1,0,0,0,0,0,2,2,0,0,0.286,0.286,0.429,0.714
노진혁,22N,10,26,25,2,7,0,0,1,10,5,0,0,1,0,1,7,0,0,0,0.28,0.308,0.4,0.708
구자욱,22삼,10,27,24,6,6,0,0,1,9,3,0,0,3,0,0,5,0,0,0,0.25,0.333,0.375,0.708
김선빈,22기,10,24,20,2,5,2,0,0,7,4,0,0,3,0,0,2,0,0,1,0.25,0.333,0.35,0.683
강민호,22삼,10,22,20,2,5,2,0,0,7,3,0,0,2,0,0,5,2,0,0,0.25,0.318,0.35,0.668
박건우,22N,10,20,16,1,4,0,0,0,4,2,0,0,3,1,0,3,0,0,0,0.25,0.4,0.25,0.65
터크먼,22한,10,19,12,2,3,2,0,0,5,1,1,0,6,1,0,2,0,0,0,0.25,0.526,0.417,0.943
김현준,22삼,10,27,25,5,6,0,1,0,8,1,0,0,1,1,0,5,0,0,0,0.24,0.296,0.32,0.616
허경민,22두,10,24,21,2,5,0,0,1,8,2,1,0,1,1,0,1,0,0,1,0.238,0.292,0.381,0.673
노시환,22한,10,21,21,2,5,4,0,0,9,0,0,0,0,0,0,3,0,0,0,0.238,0.238,0.429,0.667
이재현,22삼,10,18,17,1,4,1,0,1,8,3,0,0,0,0,0,4,0,1,0,0.235,0.235,0.471,0.706
조용호,22K,10,25,22,1,5,1,0,0,6,1,1,0,2,0,0,1,0,0,1,0.227,0.28,0.273,0.553
문보경,22L,10,22,18,1,4,0,0,0,4,5,0,0,4,0,0,4,2,0,0,0.222,0.364,0.222,0.586
채은성,22L,10,21,18,2,4,0,0,1,7,4,0,2,1,1,0,3,2,0,1,0.222,0.286,0.389,0.675
렉스,22롯,10,17,14,1,3,0,0,0,3,0,0,0,3,0,0,4,0,0,0,0.214,0.353,0.214,0.567
오태곤,22S,10,16,14,1,3,0,0,0,3,2,0,0,1,0,0,5,1,0,1,0.214,0.25,0.214,0.464
천재환,22N,10,14,14,1,3,0,0,1,6,1,0,0,0,0,0,5,0,0,0,0.214,0.214,0.429,0.643
류지혁,22기,10,29,19,2,4,1,0,0,5,1,0,0,8,1,0,2,0,1,0,0.211,0.464,0.263,0.727
양석환,22두,10,26,24,4,5,1,0,0,6,0,0,0,2,0,0,8,1,0,0,0.208,0.269,0.25,0.519
서건창,22L,10,27,25,3,5,0,0,0,5,2,0,0,1,1,0,8,0,0,0,0.2,0.259,0.2,0.459
박대온,22N,10,16,15,1,3,0,0,0,3,0,0,0,0,0,0,4,0,1,0,0.2,0.2,0.2,0.4
오윤석,22K,10,16,15,2,3,1,0,1,7,1,0,0,0,1,0,5,0,0,0,0.2,0.25,0.467,0.717
전민재,22두,10,15,15,1,3,0,0,0,3,0,1,0,0,0,0,6,1,0,0,0.2,0.2,0.2,0.4
박찬호,22기,10,24,21,5,4,0,0,0,4,1,2,0,2,0,0,2,0,0,1,0.19,0.25,0.19,0.441
이재원,22L,10,19,16,2,3,2,0,0,5,2,0,0,2,1,0,5,1,0,0,0.188,0.316,0.313,0.628
김민혁,22두,10,16,16,1,3,0,0,1,6,3,0,0,0,0,0,6,1,0,0,0.188,0.188,0.375,0.563
소크라테스,22기,10,27,27,3,5,1,0,1,9,6,0,0,0,0,0,2,1,0,0,0.185,0.185,0.333,0.519
김주원,22N,10,23,17,2,3,0,1,0,5,2,2,0,5,1,0,10,0,0,0,0.176,0.391,0.294,0.685
배정대,22K,10,26,23,3,4,0,0,1,7,1,0,0,3,0,0,7,0,0,0,0.174,0.269,0.304,0.574
김민성,22L,10,25,23,2,4,0,0,1,7,3,0,0,2,0,0,5,1,0,0,0.174,0.24,0.304,0.544
강백호,22K,10,23,23,2,4,2,0,0,6,0,0,0,0,0,0,8,0,0,0,0.174,0.174,0.261,0.435
서호철,22N,10,14,12,0,2,0,0,0,2,0,0,0,0,1,0,3,1,1,0,0.167,0.231,0.167,0.397
정진기,22N,10,14,13,0,2,0,0,0,2,0,0,0,1,0,0,5,1,0,0,0.154,0.214,0.154,0.368
김재환,22두,10,25,21,0,3,1,0,0,4,3,0,0,4,0,0,9,1,0,0,0.143,0.28,0.19,0.471
이대호,22롯,10,16,14,1,2,1,0,1,6,4,0,0,2,0,0,2,3,0,0,0.143,0.25,0.429,0.679
최주환,22S,10,18,17,2,2,0,0,1,5,2,0,0,1,0,0,5,0,0,0,0.118,0.167,0.294,0.461
심우준,22K,10,21,19,0,1,0,0,0,1,0,1,0,1,0,0,6,0,1,0,0.053,0.1,0.053,0.153
