이름,팀,월,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루율,장타율,OPS
안치홍,22롯,6,103,94,17,29,7,0,1,39,11,0,0,9,0,2,10,4,0,0,0.309,0.369,0.415,0.784
배정대,22K,6,97,85,8,26,5,0,1,34,10,1,1,10,0,0,23,0,1,1,0.306,0.375,0.4,0.775
박성한,22S,6,96,86,9,26,2,0,0,28,8,4,0,8,1,0,16,0,0,1,0.302,0.365,0.326,0.69
최지훈,22S,6,110,97,19,29,3,1,1,37,12,8,1,9,0,0,14,0,2,2,0.299,0.352,0.381,0.733
홍창기,22L,6,99,81,20,24,7,2,1,38,10,1,1,12,6,0,12,1,0,0,0.296,0.424,0.469,0.893
마티니,22N,6,81,71,5,21,6,0,2,33,13,2,1,6,2,1,13,0,0,2,0.296,0.358,0.465,0.823
김준태,22K,6,62,51,8,15,3,0,2,24,5,0,0,10,0,0,17,0,0,1,0.294,0.403,0.471,0.874
이호연,22롯,6,79,75,8,22,4,1,1,31,9,1,0,3,1,0,15,3,0,0,0.293,0.329,0.413,0.742
이해승,22삼,6,81,76,9,22,3,0,0,25,5,0,0,0,0,0,18,1,5,0,0.289,0.29,0.329,0.618
황성빈,22롯,6,90,77,16,22,1,1,0,25,4,3,1,9,1,0,12,0,3,0,0.286,0.368,0.325,0.693
박세혁,22두,6,73,60,6,17,5,1,0,24,7,0,0,9,2,0,9,0,1,1,0.283,0.389,0.4,0.789
오재일,22삼,6,101,85,7,24,3,0,1,30,9,2,0,15,0,1,23,0,0,1,0.282,0.386,0.353,0.739
김태연,22한,6,77,71,10,20,5,0,1,28,9,2,2,4,1,0,19,3,1,0,0.282,0.329,0.394,0.723
김재환,22두,6,93,79,15,22,6,0,4,40,14,0,0,14,0,2,20,1,0,0,0.278,0.387,0.506,0.893
박찬호,22기,6,105,94,11,26,4,0,1,33,16,7,3,8,0,0,12,0,1,2,0.277,0.327,0.351,0.678
김현수,22L,6,100,91,13,25,1,1,4,40,21,2,0,8,1,1,11,1,0,0,0.275,0.34,0.44,0.78
